# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240711;82;63;28;21.20731707317073;0;0;0
Estatisticas Fluminense - Principal;20240708;60;43;17;21.883333333333333;0;0;0
Estatisticas Fluminense - Principal;20240712;59;38;15;16.694915254237287;0;0;0
Estatisticas Fluminense - Principal;20240710;56;39;11;37.482142857142854;0;0;0
Estatisticas Fluminense - Principal;20240709;48;40;15;16.270833333333332;0;0;0
Estatisticas Fluminense - Principal;20240714;37;30;16;23.135135135135137;0;0;0
Jogador;20240712;35;23;3;40.457142857142856;0;0;0
Jogador;20240709;27;22;0;18.85185185185185;0;0;0
Jogador;20240711;26;19;0;24.884615384615383;0;0;0
Estatisticas Fluminense - Principal;20240713;24;19;7;28.791666666666668;0;0;0
Jogador;20240708;22;13;0;18.545454545454547;0;0;0
Jogador;20240713;17;14;1;82.88235294117646;0;0;0
Jogo;20240711;14;13;0;58.214285714285715;0;0;0
Fluminense x Criciuma-SC;20240711;13;10;0;40.46153846153846;0;0;0
Jogador;20240710;13;13;1;46.69230769230769;0;0;0
Jogo;20240708;13;13;1;59.07692307692308;0;0;0
Fluminense x Criciuma-SC;20240710;12;12;0;47;0;0;0
Jogador;20240714;12;11;0;142.41666666666666;0;0;0
Jogo;20240713;11;9;0;120.0909090909091;0;0;0
Especiais Jogadores;20240712;10;7;0;26.9;0;0;0
Jogo;20240709;10;7;0;54.8;0;0;0
Jogo;20240712;10;7;0;18.1;0;0;0
Adversarios;20240708;9;9;0;12.333333333333334;0;0;0
Jogo;20240710;9;6;0;73.22222222222223;0;0;0
Campeonatos;20240708;8;7;0;14.75;0;0;0
Campeonatos;20240710;8;5;0;14.875;0;0;0
Adversarios;20240711;7;6;0;19.857142857142858;0;0;0
Anderson Daronco;20240709;7;5;0;51.42857142857143;0;0;0
Campeonatos;20240711;7;7;0;5.714285714285714;0;0;0
Especiais Sequencias;20240712;7;4;0;14.428571428571429;0;0;0
Fluminense x Criciuma-SC;20240708;7;6;0;32.142857142857146;0;0;0
Arbitros;20240709;7;7;0;11.714285714285714;0;0;0
Adversarios;20240712;6;3;0;3;0;0;0
Especiais Jogadores;20240714;6;4;0;18.166666666666668;0;0;0
German Cano 2024;20240708;6;6;4;31;0;0;0
Gols do Washington;20240713;6;1;0;1.1666666666666667;0;0;0
Jogo;20240714;6;5;0;37.166666666666664;0;0;0
Adversarios;20240710;5;5;0;9.6;0;0;0
Adversarios;20240714;5;5;0;58.2;0;0;0
Campeonatos;20240709;5;5;0;18.4;0;0;0
Especiais Jogadores;20240710;5;5;0;73.6;0;0;0
Especiais Sequencias;20240708;5;4;0;9.6;0;0;0
Estadios;20240711;5;5;0;5.8;0;0;0
Fluminense 2 X 3 ABC;20240708;5;5;4;43;0;0;0
Gols do Tuta;20240709;5;2;0;36.2;0;0;0
Informacoes Gerais;20240712;5;4;0;31;0;0;0
Nonato 2022;20240709;5;3;0;2.2;0;0;0
Passagem de Tecnico;20240712;5;1;0;185.6;0;0;0
Tecnico;20240712;5;2;0;108.6;0;0;0
Arbitros;20240710;5;5;0;16.8;0;0;0
Beto 2006;20240711;4;1;0;1;0;0;0
Branca 2009;20240708;4;3;0;9.5;0;0;0
Brasileiro 2024;20240708;4;3;0;18;0;0;0
Brasileiro Serie B 1998;20240708;4;4;4;41.25;0;0;0
Brasileiro Serie B 1998;20240709;4;3;2;9.5;0;0;0
Camisa;20240710;4;4;0;5.75;0;0;0
Camisa;20240711;4;4;0;5.25;0;0;0
Criciuma 1 X 1 Fluminense;20240712;4;4;0;29.5;0;0;0
Especiais Adversarios;20240710;4;3;0;22.75;0;0;0
Especiais Adversarios;20240711;4;4;0;22.75;0;0;0
Especiais Brasileirao;20240711;4;3;0;70.75;0;0;0
Especiais Campeonatos;20240711;4;4;0;9;0;0;0
Especiais Jogadores;20240711;4;3;0;27.5;0;0;0
Especiais Sequencias;20240711;4;3;0;22;0;0;0
Esquerdinha 2024;20240712;4;4;0;19.25;0;0;0
Flavio 1971;20240709;4;3;0;13;0;0;0
Graficos;20240711;4;3;0;38.75;0;0;0
Heriberto Hulse;20240710;4;4;0;28;0;0;0
Informacoes Gerais;20240711;4;4;0;14.75;0;0;0
Julio Grondona;20240713;4;4;4;0;0;0;0
Paulo Henrique Ganso 2024;20240712;4;2;0;4.25;0;0;0
Paulo Henrique Ganso 2024;20240714;4;3;0;10;0;0;0
Santos 2 X 0 Fluminense;20240708;4;1;0;11.5;0;0;0
Sequencias - Brasileiro;20240708;4;3;0;22;0;0;0
Sequencias - Brasileiro;20240709;4;4;0;30;0;0;0
Sequencias em Campeonato;20240708;4;3;0;4.5;0;0;0
Adversario por ano;20240708;3;1;0;10;0;0;0
Adversarios;20240709;3;3;0;40.333333333333336;0;0;0
Adversarios;20240713;3;3;0;8.333333333333334;0;0;0
Anderson Daronco;20240708;3;3;0;30.666666666666668;0;0;0
Bobo 1992;20240712;3;1;0;5.333333333333333;0;0;0
Bobo 1992 - Gols por Adversario;20240712;3;1;0;4.333333333333333;0;0;0
Brasileiro 2009;20240708;3;3;0;13.666666666666666;0;0;0
Brasileiro 2024;20240710;3;1;0;66.66666666666667;0;0;0
Brasileirao Rodada a Rodada;20240711;3;2;0;23.666666666666668;0;0;0
Camisa;20240708;3;3;0;9.333333333333334;0;0;0
Coritiba 0 X 1 Fluminense;20240711;3;1;0;23.666666666666668;0;0;0
Criciuma 1 X 2 Fluminense;20240711;3;3;0;9.333333333333334;0;0;0
Duilio 1985;20240713;3;3;2;10.333333333333334;0;0;0
Especiais Campeonatos;20240710;3;3;0;8.666666666666666;0;0;0
Especiais Jogadores;20240708;3;3;0;4.333333333333333;0;0;0
Especiais Jogadores;20240709;3;3;0;15.333333333333334;0;0;0
Especiais Sequencias;20240709;3;3;0;13.666666666666666;0;0;0
Estadios;20240709;3;3;0;28.333333333333332;0;0;0
Flamengo 1 X 1 Fluminense;20240708;3;1;0;5;0;0;0
Flamengo 2 X 0 Fluminense;20240708;3;1;0;13;0;0;0
Fluminense 0 X 0 Flamengo;20240708;3;1;0;0;0;0;0
Fluminense 0 X 2 Paulistano;20240708;3;1;0;0.3333333333333333;0;0;0
Fluminense 1 X 1 Nautico;20240708;3;1;0;43.333333333333336;0;0;0
Fluminense 2 X 1 Rio Cricket;20240709;3;2;0;11;0;0;0
Fluminense 3 X 2 Avai;20240708;3;1;0;4.333333333333333;0;0;0
Fluminense 4 X 1 Alianza Atletico;20240708;3;1;0;7;0;0;0
Fluminense x Criciuma-SC;20240709;3;3;0;28;0;0;0
Fluminense x Linhares-ES;20240708;3;3;2;17.666666666666668;0;0;0
Fluminense x Linhares-ES;20240709;3;0;0;0;0;0;0
Gabriel Pires 2024;20240710;3;2;0;7;0;0;0
German Cano 2024;20240714;3;3;0;26.666666666666668;0;0;0
Graficos;20240710;3;3;0;9.666666666666666;0;0;0
Heriberto Hulse;20240711;3;2;0;6;0;0;0
Keno 2024;20240714;3;2;0;2.6666666666666665;0;0;0
Laranjeiras;20240713;3;3;3;0;0;0;0
Lima 2024;20240713;3;3;2;2.3333333333333335;0;0;0
Lucumi 2024;20240708;3;2;0;4.333333333333333;0;0;0
Maior Artilheiro em Estadio;20240714;3;2;0;41.666666666666664;0;0;0
Maiores Artilheiros;20240714;3;3;0;276.6666666666667;0;0;0
Mais jogos no elenco atual;20240714;3;1;0;33.666666666666664;0;0;0
Nautico 1 X 0 Fluminense;20240712;3;2;2;39.333333333333336;0;0;0
Proximos Jogos;20240711;3;2;0;4.666666666666667;0;0;0
Proximos Jogos;20240712;3;3;0;79;0;0;0
Real Madrid 0 X 2 Fluminense;20240711;3;2;2;0;0;0;0
Richard 2018;20240713;3;3;2;1.6666666666666667;0;0;0
Roni 2009;20240708;3;1;0;15.666666666666666;0;0;0
S. C. Internacional 1 X 0 Fluminense;20240713;3;2;0;216;0;0;0
Sequencias;20240708;3;2;0;11;0;0;0
Sequencias em Campeonato;20240709;3;3;0;7;0;0;0
Sequencias em Campeonato;20240712;3;2;0;2;0;0;0
Tec - Mano Menezes;20240708;3;3;0;96;0;0;0
Todas as camisas;20240708;3;3;0;14.666666666666666;0;0;0
Todos os Jogos contra Coritiba-PR;20240711;3;1;0;89.66666666666667;0;0;0
Tuta 2006;20240709;3;2;0;3.3333333333333335;0;0;0
Tecnico;20240708;3;3;0;18.333333333333332;0;0;0
Tecnico;20240709;3;3;0;2.3333333333333335;0;0;0
Vasco 1 X 5 Fluminense;20240709;3;3;3;53;0;0;0
Arbitros;20240711;3;3;0;5;0;0;0
(not set);20240711;2;2;0;18;0;0;0
